subject,completed,rt,acc,reward,instructions,block,trialinblock,overalltrial
39,1,0.723944038437473,1,high,caution,1,1,1
39,1,0.949447796245746,1,high,caution,1,2,2
39,1,0.859748308702604,1,high,caution,1,3,3
39,1,0.687244716902605,1,high,caution,1,4,4
39,1,0.759503070819228,1,high,caution,1,5,5
39,1,1.47541628399177,1,high,caution,1,6,6
39,1,1.1726675533923,0,high,caution,1,7,7
39,1,0.421893710797895,1,high,caution,1,8,8
39,1,,,high,caution,1,9,9
39,1,0.120726011961233,0,high,caution,1,10,10
39,1,2.44299048315567,1,high,caution,1,11,11
39,1,0.967828359217759,1,high,caution,1,12,12
39,1,1.00946157973616,1,high,caution,1,13,13
39,1,2.33417495923357,1,high,caution,1,14,14
39,1,1.21997619366558,1,high,caution,1,15,15
39,1,1.67203147569013,1,high,caution,1,16,16
39,1,0.788874713366034,1,high,caution,1,17,17
39,1,0.635037546426328,1,high,caution,1,18,18
39,1,1.71766583901133,1,high,caution,1,19,19
39,1,2.44452768720043,1,high,caution,1,20,20
39,1,1.52326169813729,1,low,caution,1,21,21
39,1,1.4185536120164,0,low,caution,1,22,22
39,1,1.28225994108707,1,low,caution,1,23,23
39,1,1.63237574128501,1,low,caution,1,24,24
39,1,0.779279615360506,0,low,caution,1,25,25
39,1,0.841584656387249,1,low,caution,1,26,26
39,1,3.37039807765699,1,low,caution,1,27,27
39,1,0.58775452677506,1,low,caution,1,28,28
39,1,0.595064361092804,1,low,caution,1,29,29
39,1,0.501260396488621,0,low,caution,1,30,30
39,1,0.793691546767099,0,low,caution,1,31,31
39,1,0.963943366369026,0,low,caution,1,32,32
39,1,0.982599550535588,0,low,caution,1,33,33
39,1,0.831751898514912,1,low,caution,1,34,34
39,1,0.665560368346233,0,low,caution,1,35,35
39,1,,,low,caution,1,36,36
39,1,1.30993867256556,0,low,caution,1,37,37
39,1,2.83454971000964,1,low,caution,1,38,38
39,1,,,low,caution,1,39,39
39,1,0.915675548332846,1,low,caution,1,40,40
39,1,1.0298100567105,1,high,speed,2,1,41
39,1,0.889017049793932,1,high,speed,2,2,42
39,1,1.37626517318613,1,high,speed,2,3,43
39,1,0.61491006036878,1,high,speed,2,4,44
39,1,0.4316999518792,1,high,speed,2,5,45
39,1,0.523611768395808,0,high,speed,2,6,46
39,1,0.433559092918323,0,high,speed,2,7,47
39,1,0.550889513597913,0,high,speed,2,8,48
39,1,0.779803012866082,1,high,speed,2,9,49
39,1,0.592693279224394,1,high,speed,2,10,50
39,1,0.0449482027092017,0,high,speed,2,11,51
39,1,1.04250839220338,1,high,speed,2,12,52
39,1,1.06932666284424,1,high,speed,2,13,53
39,1,0.455897910832591,0,high,speed,2,14,54
39,1,,,high,speed,2,15,55
39,1,0.443901997119329,1,high,speed,2,16,56
39,1,1.12974720138813,1,high,speed,2,17,57
39,1,1.32116859772401,1,high,speed,2,18,58
39,1,0.496844967390829,1,high,speed,2,19,59
39,1,3.76442547217011,0,high,speed,2,20,60
39,1,1.2441893896337,1,low,speed,2,21,61
39,1,0.382774889773407,1,low,speed,2,22,62
39,1,0.509069649761983,1,low,speed,2,23,63
39,1,0.457747732076088,1,low,speed,2,24,64
39,1,0.396784989945227,1,low,speed,2,25,65
39,1,0.65446131119374,1,low,speed,2,26,66
39,1,0.412408088157679,1,low,speed,2,27,67
39,1,0.710844648715998,1,low,speed,2,28,68
39,1,0.765481191102542,0,low,speed,2,29,69
39,1,0.132297079637647,0,low,speed,2,30,70
39,1,0.373359101537688,0,low,speed,2,31,71
39,1,0.669422862944788,0,low,speed,2,32,72
39,1,0.869161636135461,1,low,speed,2,33,73
39,1,0.726551329006563,0,low,speed,2,34,74
39,1,0.609090799390314,1,low,speed,2,35,75
39,1,0.994476603887144,0,low,speed,2,36,76
39,1,0.749127436567966,1,low,speed,2,37,77
39,1,0.955931854160765,0,low,speed,2,38,78
39,1,0.593814032992706,0,low,speed,2,39,79
39,1,0.728034114301992,1,low,speed,2,40,80
